trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
354,False,"{'a': 0.4, 'e': 0.0007834851965077539}",25,13,14.374016298863152,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.4, 'e': 0.0007678154925775988}",20,0,34.95363848681274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
356,False,"{'a': 0.4, 'e': 0.0007524591827260468}",20,6,23.77960679589518,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.4, 'e': 0.0007374099990715259}",20,8,19.05388281586563,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.4, 'e': 0.0007226617990900954}",20,7,25.266578218651773,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.4, 'e': 0.0007082085631082935}",20,5,27.195583330497133,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.4, 'e': 0.0006940443918461276}",30,21,14.602699042491873,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.4, 'e': 0.000680163504009205}",25,3,27.745385234477848,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.4, 'e': 0.000666560233929021}",25,20,11.32403430609854,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.4, 'e': 0.0006532290292504406}",25,0,37.753296369547954,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
364,False,"{'a': 0.4, 'e': 0.0006401644486654318}",30,16,25.680821166868622,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.4, 'e': 0.0006273611596921231}",25,0,34.98908415675817,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
366,False,"{'a': 0.4, 'e': 0.0006148139364982807}",20,9,15.139721423398917,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.4, 'e': 0.0006025176577683151}",25,0,9.761582897228571,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
368,False,"{'a': 0.4, 'e': 0.0005904673046129488}",20,11,18.004853141634023,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.4, 'e': 0.0005786579585206898}",25,6,7.823204988174052,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
370,False,"{'a': 0.4, 'e': 0.000567084799350276}",20,6,26.174548495093326,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.4, 'e': 0.0005557431033632705}",30,16,25.25143862088209,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.4, 'e': 0.000544628241296005}",20,4,25.458793772312244,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.4, 'e': 0.0005337356764700849}",35,20,26.97139070478781,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.4, 'e': 0.0005230609629406832}",30,14,23.673504648204307,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.4, 'e': 0.0005125997436818695}",30,7,13.645085068949053,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
376,False,"{'a': 0.4, 'e': 0.0005023477488082321}",20,15,11.029024213785169,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.4, 'e': 0.0004923007938320674}",20,0,31.806990144469278,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
378,False,"{'a': 0.4, 'e': 0.0004824547779554261}",25,7,-8.621592529712105,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
379,False,"{'a': 0.4, 'e': 0.0004728056823963176}",20,0,30.824177232648413,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
380,False,"{'a': 0.4, 'e': 0.0004633495687483912}",20,14,11.110604662027518,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.4, 'e': 0.0004540825773734234}",25,14,18.729520594032444,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.4, 'e': 0.00044500092582595494}",20,15,9.170020811214881,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.4, 'e': 0.00043610090730943584}",20,0,26.80197851510022,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
384,False,"{'a': 0.4, 'e': 0.0004273788891632471}",20,0,33.16645713761165,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
385,False,"{'a': 0.4, 'e': 0.00041883131137998217}",25,12,22.385722298650933,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.4, 'e': 0.0004104546851523825}",30,4,44.12049866482693,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.4, 'e': 0.00040224559144933484}",25,0,37.68124545973072,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.4, 'e': 0.00039420067962034816}",25,0,36.42932787420085,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
389,False,"{'a': 0.4, 'e': 0.0003863166660279412}",25,15,18.72895149537791,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.4, 'e': 0.00037859033270738236}",20,7,21.88219408981006,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.4, 'e': 0.0003710185260532347}",20,6,21.335545051838384,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
